Time (IST),Latitude,Longitude,Course,kts,mph,meters,Rate,Reporting Facility,Time Diff,m/s,Dist from lp,tilt
,33.98833585633012,74.77252110663423,136.0,175.0,-6.394884621840902e-14,1663.6364256107863,0.0,,0.0,-2.842170943040401e-14,0.0,0.0
,33.98830696066729,74.77255476056996,136.0,175.0,20.099999999999937,1663.6364256107863,0.0,,1.0,8.933333333333305,4.466666666666638,0.0
,33.98822027367882,74.77265572227415,136.0,175.0,40.19999999999994,1663.6364256107863,0.0,,1.0,17.86666666666664,13.399999999999972,0.0
,33.98807579536469,74.77282399149509,136.0,175.0,60.29999999999994,1663.6364256107863,0.0,,1.0,26.799999999999972,22.333333333333307,0.0
,33.987873525724915,74.77305956784367,136.0,175.0,80.39999999999993,1663.6364256107863,0.0,,1.0,35.733333333333306,31.266666666666637,0.0
,33.98761346475949,74.77336245079358,136.0,175.0,100.49999999999994,1663.6364256107863,0.0,,1.0,44.66666666666664,40.199999999999974,0.0
,33.987295612468415,74.77373263968113,136.0,175.0,120.59999999999995,1663.6364256107863,0.0,,1.0,53.59999999999998,49.13333333333331,0.0
,33.98691996885168,74.77417013370537,136.0,175.0,140.69999999999996,1663.6364256107863,0.0,,1.0,62.53333333333332,58.06666666666665,0.0
,33.9864865339093,74.77467493192809,136.0,175.0,160.79999999999998,1663.6364256107863,0.0,,1.0,71.46666666666665,66.99999999999999,0.0
,33.98599530764127,74.7752470332738,136.0,175.0,180.89999999999998,1663.6364256107863,0.0,,1.0,80.39999999999999,75.93333333333332,0.0
,33.98544629004759,74.77588643652976,136.0,175.0,201.0,1663.6364256107863,0.0,,1.0,89.33333333333333,84.86666666666666,0.0
,33.98487034743527,74.77655719296877,136.0,175.0,201.0,1671.0074996210424,0.0,,1.0,89.33333333333333,89.33333333333333,4.125278196354215
,33.984294942964624,74.77722731813849,136.0,175.0,201.0,1679.322402147318,0.0,,1.0,89.33333333333333,89.33333333333333,4.732971574215566
,33.983720141363754,74.77789673666939,136.0,175.0,201.0,1688.5801978338338,0.0,,1.0,89.33333333333333,89.33333333333333,5.340664952076916
,33.98314600729296,74.778565373273,136.0,175.0,201.0,1698.7798452573536,0.0,,1.0,89.33333333333333,89.33333333333333,5.948358329938267
,33.982572605337424,74.77923315275024,136.0,175.0,201.0,1709.920197044335,0.0,,1.0,89.33333333333333,89.33333333333333,6.556051707799617
Tue 15:36:35,33.982,74.7799,136.0,175.0,201.0,1722.0,0.0, FlightAware ADS-B  (SXR / VISR) ,1.0,89.33333333333333,89.33333333333333,7.163745085660968
Tue 15:36:55,33.9705,74.7937,136.0,176.0,203.0,1966.0,584.0, FlightAware ADS-B  (SXR / VISR) ,20.0,90.22222222222223,1804.4444444444446,7.771438463522318
Tue 15:37:11,33.9604,74.8052,138.0,195.0,224.0,2073.0,350.0, FlightAware ADS-B  (SXR / VISR) ,16.0,99.55555555555556,1592.888888888889,3.8516612032853907
Tue 15:37:29,33.9445,74.8124,174.0,213.0,245.0,2164.0,309.0, FlightAware ADS-B  (SXR / VISR) ,18.0,108.88888888888889,1960.0,2.6611178326087948
Tue 15:37:48,33.9255,74.8036,218.0,239.0,275.0,2263.0,353.0, FlightAware ADS-B  (SXR / VISR) ,19.0,122.22222222222223,2322.222222222222,2.443350040845
Tue 15:38:04,33.9161,74.7864,249.0,257.0,296.0,2370.0,572.0, FlightAware ADS-B  (SXR / VISR) ,16.0,131.55555555555554,2104.8888888888887,2.9138316434446763
Tue 15:38:24,33.9168,74.7581,287.0,264.0,304.0,2606.0,800.0, FlightAware ADS-B  (SXR / VISR) ,20.0,135.11111111111111,2702.222222222222,5.010340268902441
Tue 15:38:44,33.9317,74.7343,316.0,262.0,302.0,2903.0,871.0, FlightAware ADS-B  (SXR / VISR) ,20.0,134.22222222222223,2684.4444444444443,6.35206117189458
Tue 15:39:27,33.9729,74.6946,338.0,271.0,312.0,3520.0,863.0, FlightAware ADS-B  (SXR / VISR) ,43.0,138.66666666666666,5962.666666666666,5.9394381297935865
Tue 15:39:47,33.9983,74.6946,16.0,279.0,321.0,3810.0,869.0, FlightAware ADS-B  (SXR / VISR) ,20.0,142.66666666666666,2853.333333333333,5.833358434873024
Tue 15:40:07,34.0194,74.7125,51.0,286.0,329.0,4100.0,880.0, FlightAware ADS-B  (SXR / VISR) ,20.0,146.22222222222223,2924.4444444444443,5.691039625292634
Tue 15:40:27,34.0284,74.7408,84.0,285.0,328.0,4397.0,754.0, FlightAware ADS-B  (SXR / VISR) ,20.0,145.77777777777777,2915.5555555555557,5.846712575203054
Tue 15:40:47,34.0221,74.7729,116.0,297.0,342.0,4602.0,640.0, FlightAware ADS-B  (SXR / VISR) ,20.0,152.0,3040.0,3.8666299438014597
Tue 15:41:12,33.9958,74.7985,158.0,301.0,346.0,4877.0,668.0, FlightAware ADS-B  (SXR / VISR) ,25.0,153.77777777777777,3844.4444444444443,4.101973022897308
Tue 15:41:50,33.9439,74.8181,169.0,312.0,359.0,5304.0,694.0, FlightAware ADS-B  (SXR / VISR) ,38.0,159.55555555555554,6063.11111111111,4.038449325838006
Tue 15:42:10,33.916,74.8202,181.0,314.0,361.0,5547.0,646.0, FlightAware ADS-B  (OPLH) ,20.0,160.44444444444446,3208.888888888889,4.343003569978891
Tue 15:42:41,33.8702,74.813,190.0,324.0,373.0,5852.0,647.0, FlightAware ADS-B  (OPQS) ,31.0,165.77777777777777,5139.111111111111,3.4024342786853476
